STATION;LAT;LON;DATE;PRCP;TAVG
HORTA AZORES;38.52;-28.63;2020-01-01;0.0;15.3
HORTA AZORES;38.52;-28.63;2020-01-02;1.0;13.8
HORTA AZORES;38.52;-28.63;2020-01-03;0.0;16.0
HORTA AZORES;38.52;-28.63;2020-01-04;0.0;17.7
HORTA AZORES;38.52;-28.63;2020-01-05;0.8;17.4
HORTA AZORES;38.52;-28.63;2020-01-06;0.0;17.4
HORTA AZORES;38.52;-28.63;2020-01-07;0.0;17.8
HORTA AZORES;38.52;-28.63;2020-01-08;3.0;17.4
HORTA AZORES;38.52;-28.63;2020-01-09;2.0;15.9
HORTA AZORES;38.52;-28.63;2020-01-10;0.3;17.3
HORTA AZORES;38.52;-28.63;2020-01-11;3.0;13.4
HORTA AZORES;38.52;-28.63;2020-01-12;0.3;12.9
HORTA AZORES;38.52;-28.63;2020-01-13;0.0;16.3
HORTA AZORES;38.52;-28.63;2020-01-14;5.1;13.9
HORTA AZORES;38.52;-28.63;2020-01-15;3.0;13.5
HORTA AZORES;38.52;-28.63;2020-01-16;3.0;12.7
HORTA AZORES;38.52;-28.63;2020-01-17;14.0;14.8
HORTA AZORES;38.52;-28.63;2020-01-18;0.5;16.7
HORTA AZORES;38.52;-28.63;2020-01-19;0.0;17.5
HORTA AZORES;38.52;-28.63;2020-01-20;0.0;17.1
HORTA AZORES;38.52;-28.63;2020-01-21;0.0;15.1
HORTA AZORES;38.52;-28.63;2020-01-22;0.0;15.1
HORTA AZORES;38.52;-28.63;2020-01-23;0.0;14.1
HORTA AZORES;38.52;-28.63;2020-01-24;0.0;13.3
HORTA AZORES;38.52;-28.63;2020-01-25;0.0;14.6
HORTA AZORES;38.52;-28.63;2020-01-26;0.0;14.6
HORTA AZORES;38.52;-28.63;2020-01-27;0.0;16.6
HORTA AZORES;38.52;-28.63;2020-01-28;0.0;17.1
HORTA AZORES;38.52;-28.63;2020-01-29;0.0;16.4
HORTA AZORES;38.52;-28.63;2020-01-30;0.0;17.2
HORTA AZORES;38.52;-28.63;2020-01-31;0.0;17.1
HORTA AZORES;38.52;-28.63;2020-02-01;7.1;15.3
HORTA AZORES;38.52;-28.63;2020-02-02;1.0;13.2
HORTA AZORES;38.52;-28.63;2020-02-03;0.8;13.2
HORTA AZORES;38.52;-28.63;2020-02-04;1.0;15.2
HORTA AZORES;38.52;-28.63;2020-02-05;7.1;15.3
HORTA AZORES;38.52;-28.63;2020-02-06;3.0;14.5
HORTA AZORES;38.52;-28.63;2020-02-07;0.3;14.4
HORTA AZORES;38.52;-28.63;2020-02-08;0.0;16.0
HORTA AZORES;38.52;-28.63;2020-02-09;0.0;17.1
HORTA AZORES;38.52;-28.63;2020-02-10;0.0;16.7
HORTA AZORES;38.52;-28.63;2020-02-11;3.0;15.8
HORTA AZORES;38.52;-28.63;2020-02-12;2.0;16.2
HORTA AZORES;38.52;-28.63;2020-02-13;0.0;16.2
HORTA AZORES;38.52;-28.63;2020-02-14;4.1;14.7
HORTA AZORES;38.52;-28.63;2020-02-15;0.3;16.7
HORTA AZORES;38.52;-28.63;2020-02-16;0.0;14.4
HORTA AZORES;38.52;-28.63;2020-02-17;0.0;12.0
HORTA AZORES;38.52;-28.63;2020-02-18;0.0;13.3
HORTA AZORES;38.52;-28.63;2020-02-19;0.5;14.9
HORTA AZORES;38.52;-28.63;2020-02-20;0.3;13.1
HORTA AZORES;38.52;-28.63;2020-02-21;0.0;14.3
HORTA AZORES;38.52;-28.63;2020-02-22;0.0;14.8
HORTA AZORES;38.52;-28.63;2020-02-23;0.0;15.4
HORTA AZORES;38.52;-28.63;2020-02-24;0.0;15.1
HORTA AZORES;38.52;-28.63;2020-02-25;0.0;15.0
HORTA AZORES;38.52;-28.63;2020-02-26;0.0;15.9
HORTA AZORES;38.52;-28.63;2020-02-27;0.0;17.3
HORTA AZORES;38.52;-28.63;2020-02-28;21.1;17.2
HORTA AZORES;38.52;-28.63;2020-02-29;0.0;16.4
HORTA AZORES;38.52;-28.63;2020-03-01;0.3;16.6
HORTA AZORES;38.52;-28.63;2020-03-02;2.0;17.0
HORTA AZORES;38.52;-28.63;2020-03-03;0.0;17.5
HORTA AZORES;38.52;-28.63;2020-03-04;0.8;14.6
HORTA AZORES;38.52;-28.63;2020-03-05;0.3;14.7
HORTA AZORES;38.52;-28.63;2020-03-06;0.0;15.9
HORTA AZORES;38.52;-28.63;2020-03-07;16.0;16.2
HORTA AZORES;38.52;-28.63;2020-03-08;0.3;16.3
HORTA AZORES;38.52;-28.63;2020-03-09;0.0;17.2
HORTA AZORES;38.52;-28.63;2020-03-10;0.0;16.8
HORTA AZORES;38.52;-28.63;2020-03-11;5.1;12.8
HORTA AZORES;38.52;-28.63;2020-03-12;0.3;15.2
HORTA AZORES;38.52;-28.63;2020-03-13;0.0;15.3
HORTA AZORES;38.52;-28.63;2020-03-14;0.0;15.5
HORTA AZORES;38.52;-28.63;2020-03-15;0.0;15.5
HORTA AZORES;38.52;-28.63;2020-03-16;0.0;16.7
HORTA AZORES;38.52;-28.63;2020-03-17;0.0;17.1
HORTA AZORES;38.52;-28.63;2020-03-18;2.0;15.2
HORTA AZORES;38.52;-28.63;2020-03-19;3.0;13.7
HORTA AZORES;38.52;-28.63;2020-03-20;0.0;13.8
HORTA AZORES;38.52;-28.63;2020-03-21;7.9;13.4
HORTA AZORES;38.52;-28.63;2020-03-22;0.0;12.4
HORTA AZORES;38.52;-28.63;2020-03-23;0.0;13.4
HORTA AZORES;38.52;-28.63;2020-03-24;2.0;13.7
HORTA AZORES;38.52;-28.63;2020-03-25;1.0;12.0
HORTA AZORES;38.52;-28.63;2020-03-26;0.0;12.6
HORTA AZORES;38.52;-28.63;2020-03-27;9.9;13.8
HORTA AZORES;38.52;-28.63;2020-03-28;9.9;13.6
HORTA AZORES;38.52;-28.63;2020-03-29;0.5;14.4
HORTA AZORES;38.52;-28.63;2020-03-30;0.8;15.3
HORTA AZORES;38.52;-28.63;2020-03-31;0.0;14.7
HORTA AZORES;38.52;-28.63;2020-04-01;1.0;14.3
HORTA AZORES;38.52;-28.63;2020-04-02;4.1;16.0
HORTA AZORES;38.52;-28.63;2020-04-03;9.9;15.8
HORTA AZORES;38.52;-28.63;2020-04-04;4.1;15.4
HORTA AZORES;38.52;-28.63;2020-04-05;2.0;14.2
HORTA AZORES;38.52;-28.63;2020-04-06;0.5;16.4
HORTA AZORES;38.52;-28.63;2020-04-07;13.0;17.3
HORTA AZORES;38.52;-28.63;2020-04-08;4.1;16.8
HORTA AZORES;38.52;-28.63;2020-04-09;0.0;15.8
HORTA AZORES;38.52;-28.63;2020-04-10;0.0;16.6
HORTA AZORES;38.52;-28.63;2020-04-11;0.0;16.3
HORTA AZORES;38.52;-28.63;2020-04-12;0.0;16.0
HORTA AZORES;38.52;-28.63;2020-04-13;0.0;16.0
HORTA AZORES;38.52;-28.63;2020-04-14;0.3;13.2
HORTA AZORES;38.52;-28.63;2020-04-15;7.9;12.1
HORTA AZORES;38.52;-28.63;2020-04-16;2.0;14.1
HORTA AZORES;38.52;-28.63;2020-04-17;0.0;15.4
HORTA AZORES;38.52;-28.63;2020-04-18;0.5;16.7
HORTA AZORES;38.52;-28.63;2020-04-19;4.1;14.7
HORTA AZORES;38.52;-28.63;2020-04-20;0.5;14.7
HORTA AZORES;38.52;-28.63;2020-04-21;10.9;16.7
HORTA AZORES;38.52;-28.63;2020-04-22;0.0;15.5
HORTA AZORES;38.52;-28.63;2020-04-23;0.0;15.9
HORTA AZORES;38.52;-28.63;2020-04-24;0.0;15.9
HORTA AZORES;38.52;-28.63;2020-04-25;3.0;16.1
HORTA AZORES;38.52;-28.63;2020-04-26;2.0;14.3
HORTA AZORES;38.52;-28.63;2020-04-27;0.0;14.9
HORTA AZORES;38.52;-28.63;2020-04-28;2.0;14.4
HORTA AZORES;38.52;-28.63;2020-04-29;0.0;16.2
HORTA AZORES;38.52;-28.63;2020-04-30;0.5;17.8
HORTA AZORES;38.52;-28.63;2020-05-01;10.9;17.2
HORTA AZORES;38.52;-28.63;2020-05-02;2.0;15.3
HORTA AZORES;38.52;-28.63;2020-05-03;0.0;14.0
HORTA AZORES;38.52;-28.63;2020-05-04;10.9;16.1
HORTA AZORES;38.52;-28.63;2020-05-05;2.0;15.8
HORTA AZORES;38.52;-28.63;2020-05-06;6.1;16.9
HORTA AZORES;38.52;-28.63;2020-05-07;0.0;16.8
HORTA AZORES;38.52;-28.63;2020-05-08;4.1;15.9
HORTA AZORES;38.52;-28.63;2020-05-09;7.1;16.8
HORTA AZORES;38.52;-28.63;2020-05-10;1.0;15.8
HORTA AZORES;38.52;-28.63;2020-05-11;0.0;15.4
HORTA AZORES;38.52;-28.63;2020-05-12;0.5;15.6
HORTA AZORES;38.52;-28.63;2020-05-13;0.5;14.8
HORTA AZORES;38.52;-28.63;2020-05-14;0.0;14.5
HORTA AZORES;38.52;-28.63;2020-05-15;3.0;16.9
HORTA AZORES;38.52;-28.63;2020-05-16;0.0;17.4
HORTA AZORES;38.52;-28.63;2020-05-17;0.3;17.2
HORTA AZORES;38.52;-28.63;2020-05-18;0.0;17.6
HORTA AZORES;38.52;-28.63;2020-05-19;5.1;16.9
HORTA AZORES;38.52;-28.63;2020-05-20;0.0;16.2
HORTA AZORES;38.52;-28.63;2020-05-21;5.1;16.3
HORTA AZORES;38.52;-28.63;2020-05-22;2.0;14.6
HORTA AZORES;38.52;-28.63;2020-05-23;7.1;17.0
